,0
0,Virginia
1,Colorado
2,Wyoming
3,Alabama
4,Arkansas
5,Idaho
6,Ohio
7,Alaska
8,Indiana
9,Arizona
10,Mississippi
11,Tennessee
12,California
13,Nevada
14,Illinois
15,Maine
16,Wisconsin
17,Florida
18,Hawaii
19,Utah
20,Georgia
21,Montana
22,Michigan
23,Iowa
24,New Hampshire
25,Kansas
26,Missouri
27,Oklahoma
28,Rhode Island
29,Minnesota
30,Washington
31,Oregon
32,Pennsylvania
33,Texas
34,Louisiana
35,North Carolina
36,Connecticut
37,Kentucky
38,Massachusetts
39,Maryland
40,South Carolina
41,New Jersey
42,South Dakota
43,Vermont
44,New Mexico
45,West Virginia
46,Delaware
47,North Dakota
48,Nebraska
